fileID,f1,f2,vot,notes
ne02_kaka,637.74,1459.14,42.52,
ne02_kaka1,937.59,2237.85,55.64,
ne02_kaka2,63.32,1504.01,66.00,
ne02_keke,465.33,2408.59,15.63,
ne02_keke1,443.12,2513.76,11.87,
ne02_keke2,499.21,2241.81,71.22,
ne02_kiki,355.94,2685.76,23.55,
ne02_kiki1,356.91,2757.82,25.39,
ne02_kiki2,320.10,2784.88,25.83,
ne02_koko,556.13,1042.12,48.47,
ne02_koko1,423.92,1023.12,37.82,
ne02_koko2,531.49,1077.13,49.87,
ne02_kuku,914.82,1163.34,64.86,
ne02_kuku1,404.03,1103.48,12.74,
ne02_kuku2,404.03,1103.48,12.74,
ne02_paka,761.37,1680.15,32.91,
ne02_paka1,865.33,1520.16,18.31,
ne02_paka2,1056.65,1785.13,7.81,
ne02_peke,542.71,2398.48,10.35,
ne02_peke1,526.74,2453.99,40.28,
ne02_peke2,528.25,2472.28,10.45,
ne02_piki,346.56,2628.01,37.45,
ne02_piki1,380.60,2718.67,18.47,
ne02_piki2,446.15,2643.37,10.82,
ne02_poko,570.19,1011.58,8.36,
ne02_poko1,1013.07,2155.93,9.15,
ne02_poko2,464.12,1222.14,15.31,
ne02_puku,436.29,1052.62,21.28,
ne02_puku1,494.90,1207.08,7.60,
ne02_puku2,449.81,1262.06,13.52,
ne02_taka,844.07,1766.15,9.41,
ne02_taka1,828.00,1586.42,34.19,
ne02_taka2,813.39,1651.79,39.07,
ne02_teke,518.57,2405.18,23.88,
ne02_teke1,482.79,2441.53,31.83,
ne02_teke2,681.69,1836.04,39.11,
ne02_tiki,312.84,2835.78,38.26,
ne02_tiki1,319.13,2737.40,35.46,
ne02_tiki2,310.15,2739.45,36.03,
ne02_toko,479.06,999.50,34.23,
ne02_toko1,596.46,1157.19,35.46,
ne02_toko2,534.84,1020.29,32.46,
ne02_tuku,470.32,1304.92,31.42,
ne02_tuku1,446.60,1125.78,44.57,
ne02_tuku2,793.10,1254.11,48.86,
